Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,<30,30s,40s,50s,60s,70s,80+,Total_pop,<30_%,30s_%,40s_%,50s_%,60s_%,70s_%,80+_%,est_death_rate_%,deaths/confirmed_%,deaths/million
Albania,2020-04-11 22:45:13,41.1533,20.1683,433,23,197,1202786.0,359276.0,346046.0,399874.0,304201.0,185708.0,72433.0,2870324.0,41.90418921348252,12.51691446679887,12.055990891620597,13.931319251763913,10.598141533847746,6.469931617475937,2.5235130250104167,0.6991703027254067,5.311778290993072,8.013032675056893
Algeria,2020-04-11 22:45:13,28.0339,1.6596,1825,275,460,20373118.629000008,5083774.939699999,3647763.4755,2409272.2885000003,1342784.737,868768.2807,344224.70314,34069707.05354001,59.79833814533237,14.92168668110626,10.706765014937163,7.07159672583585,3.9412864187233394,2.549972852231293,1.010354161833726,0.2954284671782108,15.068493150684931,8.07168666193231
Andorra,2020-04-11 22:45:13,42.5063,1.5218,601,26,71,23221.0,11331.0,14118.0,12718.0,7776.0,4453.0,2560.0,76177.0,30.482954172519268,14.874568439292698,18.533153051445975,16.69532798613755,10.207805505598804,5.845596439870302,3.3605944051354086,0.7466295601034433,4.326123128119801,341.3103692715649
Angola,2020-04-11 22:45:13,-11.2027,17.8739,19,2,4,18826481.0,2886479.0,1914991.0,1192488.0,571541.0,273111.0,123931.0,25789022.0,73.00191918871526,11.192665623380368,7.425605360296331,4.624014047527665,2.2162182032339186,1.059020384720289,0.480557192126169,0.15049559459835274,10.526315789473683,0.07755237868268133
Antigua and Barbuda,2020-04-11 22:45:13,17.0608,-61.7964,21,2,0,43135.0,14116.0,13922.0,12410.0,7404.0,3743.0,1723.0,96453.0,44.721263205913765,14.63510725431039,14.433973023130436,12.866370149191834,7.676277565239029,3.880646532508061,1.7863622697064891,0.4911646086695074,9.523809523809524,20.73548775051061
Argentina,2020-04-11 22:45:13,-38.4161,-63.6167,1975,83,440,21592293.0,6429424.0,5606795.0,4326823.0,3510579.0,2256624.0,1216174.0,44938712.0,48.04831300015897,14.307094515748469,12.476536933234758,9.628275505537408,7.8119261629038235,5.021559140368776,2.706294742047792,0.5932558903779885,4.2025316455696204,1.8469599217707886
Armenia,2020-04-11 22:45:13,40.0691,45.0382,967,13,173,1225453.0,485119.0,346671.0,399192.0,293761.0,139246.0,83290.0,2972732.0,41.22312404885473,16.318961816941453,11.661697051735576,13.428455710101012,9.88185278726774,4.6841087592154285,2.801799825884069,0.6330685376280135,1.344364012409514,4.373081730879204
Australia,2020-04-11 22:52:46,-35.4735,149.0124,6303,57,1806,9810718.0,3584903.0,3264783.0,3058380.0,2566403.0,1718337.0,989336.0,24992860.0,39.25408296609512,14.343708563165642,13.062862753602428,12.237014891452999,10.268544696365282,6.875311588989816,3.958474540328718,0.811031366558289,0.9043312708234174,2.28065135402671
Austria,2020-04-11 22:45:13,47.5162,14.5501,13806,337,6604,2866660.0,1187078.0,1237979.0,1360002.0,971747.0,763435.0,435727.0,8822628.0,32.49213272961299,13.45492522182733,14.031862161705105,15.414930789329437,11.01425788325202,8.653147338865471,4.938743875407646,0.9820352733901961,2.4409676952049835,38.19723556291844
Azerbaijan,2020-04-11 22:45:13,40.1431,47.5769,1058,11,200,4621289.0,1659007.0,1268583.0,1281702.0,681707.0,247928.0,137869.0,9898085.0,46.68871807021257,16.760888596127433,12.8164488383359,12.948989627791638,6.8872615258406045,2.5048077481654283,1.3928855935264246,0.39267671473825494,1.0396975425330812,1.1113260797416875
Bahamas,2020-04-11 22:45:13,25.025885,-78.035889,46,8,5,182260.0,53850.0,56610.0,46800.0,25570.0,11910.0,4320.0,381320.0,47.797125773628444,14.121997272631912,14.845798804153992,12.273156404070072,6.705654043847686,3.123360956676807,1.1329067449910837,0.3945190391272422,17.391304347826086,20.97975453687192
Bahrain,2020-04-11 22:45:13,26.0275,50.55,1040,6,555,677855.0,389709.0,228526.0,130775.0,52827.0,16289.0,7110.0,1503091.0,45.097402619003105,25.92717273937506,15.2037368329662,8.700404699382805,3.5145576681651343,1.0837001884782758,0.47302525262941497,0.20930781968623324,0.576923076923077,3.9917742837925316
Bangladesh,2020-04-11 22:45:13,23.685,90.3563,482,30,36,89523001.0,20056193.0,14641735.0,9053268.0,6047504.0,3106439.0,1615557.0,144043697.0,62.14989122363333,13.923686643505132,10.164787009042124,6.285084449061315,4.198381550842867,2.156594883842783,1.1215742400724413,0.285691460001891,6.224066390041494,0.20827013347206716
Barbados,2020-04-11 22:45:13,13.1939,-59.5432,68,4,11,110884.0,39301.0,41478.0,36703.0,23637.0,15617.0,10201.0,277821.0,39.91202968818052,14.146158857681746,14.92975692982172,13.211024364608868,8.507996155798157,5.6212453342259945,3.6717886696829973,0.7156222891718048,5.88235294117647,14.397759708589344
Belarus,2020-04-11 22:45:13,53.7098,27.9534,2226,23,172,3274485.0,1482291.0,1291512.0,1402423.0,1120661.0,560451.0,360000.0,9491823.0,34.49795682030733,15.61650485897177,13.606574838152795,14.775064811048416,11.806593949339343,5.904566488439576,3.792738233740768,0.7923957600136454,1.0332434860736748,2.4231383160010465
Belgium,2020-04-11 22:45:13,50.8333,4.469936,28018,3346,5986,3982496.0,1479781.0,1513991.0,1594245.0,1309998.0,881301.0,637343.0,11399155.0,34.93676504969009,12.98149731273941,13.281607277030622,13.985641918194814,11.49206235023561,7.731283590757385,5.591142501352074,0.9895940620160003,11.942322792490542,293.5305292365969
