Country_Region,Age,Values
Chile,40s,2492673.0
Chile,50s,2430505.0
Chile,60s,1724151.0
Chile,70s,967809.0
Chile,80+,902532.0
China,Total,1332810869.0
China,< 30,549638105.0
China,30s,215164162.0
China,40s,230348517.0
China,50s,160065645.0
China,60s,99780564.0
China,70s,56824530.0
China,80+,20989346.0
Costa Rica,Total,5003673.0
Costa Rica,< 30,2259474.0
Costa Rica,30s,735405.0
Costa Rica,40s,610946.0
Costa Rica,50s,603842.0
Costa Rica,60s,445851.0
Costa Rica,70s,229848.0
Costa Rica,80+,118307.0
Croatia,Total,4105493.0
Croatia,< 30,1294181.0
Croatia,30s,552831.0
Croatia,40s,543591.0
Croatia,50s,591011.0
Croatia,60s,555410.0
Croatia,70s,355202.0
Croatia,80+,213404.0
Cuba,Total,11215344.0
Cuba,< 30,3984999.0
Cuba,30s,1368446.5
Cuba,40s,1789664.5
Cuba,50s,1802795.0
Cuba,60s,1123432.5
Cuba,70s,758843.5
Cuba,80+,573648.0
Cyprus,Total,840407.0
Cyprus,< 30,330953.0
Cyprus,30s,131696.0
Cyprus,40s,116968.0
Cyprus,50s,103890.0
Cyprus,60s,81362.0
Cyprus,70s,50491.0
Cyprus,80+,24948.0
Czechia,Total,10610055.0
Czechia,< 30,3335639.0
Czechia,30s,1541809.0
Czechia,40s,1675966.0
Czechia,50s,1317890.0
Czechia,60s,1383116.0
Czechia,70s,928213.0
Czechia,80+,428080.0
Denmark,Total,5781190.0
Denmark,< 30,2082863.0
Denmark,30s,680366.0
Denmark,40s,765356.0
Denmark,50s,791646.0
Denmark,60s,665221.0
Denmark,70s,543591.0
Denmark,80+,259696.0
Djibouti,Total,818159.0
Djibouti,< 30,529784.0
Djibouti,30s,125629.0
Djibouti,40s,79907.0
Djibouti,50s,47026.0
Djibouti,60s,35813.0
Dominica,Total,68913.0
Dominica,< 30,33714.0
Dominica,30s,8536.0
Dominica,40s,9425.0
Dominica,50s,7039.0
Dominica,60s,4652.0
Dominica,70s,3454.0
Dominica,80+,2093.0
Dominican Republic,Total,9445281.0
Dominican Republic,< 30,5435317.0
Dominican Republic,30s,1349795.0
Dominican Republic,40s,1079857.0
Dominican Republic,50s,724649.0
Dominican Republic,60s,454834.0
Dominican Republic,70s,260558.0
Dominican Republic,80+,140271.0
Ecuador,Total,14483499.0
Ecuador,< 30,8440652.0
Ecuador,30s,2006015.0
Ecuador,40s,1569143.0
Ecuador,50s,1126025.0
Ecuador,60s,724576.0
Ecuador,70s,405309.0
Ecuador,80+,211779.0
Egypt,Total,94798827.0
Egypt,< 30,57852249.0
Egypt,30s,13830704.0
Egypt,40s,9545234.0
Egypt,50s,7258467.0
Egypt,60s,4369561.0
Egypt,70s,2406898.0
Egypt,80+,462376.0
El Salvador,Total,6581940.0
El Salvador,< 30,3722967.0
El Salvador,30s,881082.0
El Salvador,40s,716351.0
El Salvador,50s,533641.0
El Salvador,60s,371222.0
El Salvador,70s,233437.0
El Salvador,80+,179082.0
Estonia,Total,1319133.0
Estonia,< 30,435656.0
Estonia,30s,188315.0
Estonia,40s,180698.0
Estonia,50s,172219.0
Estonia,60s,161075.0
Estonia,70s,109172.0
Estonia,80+,72388.0
Eswatini,Total,1018449.0
Eswatini,< 30,723352.0
Eswatini,30s,114623.0
Eswatini,40s,75156.0
Eswatini,50s,47975.0
Eswatini,60s,33569.0
Eswatini,70s,15827.0
Eswatini,80+,13978.0
Ethiopia,Total,73750932.0
Ethiopia,< 30,54003344.0
Ethiopia,30s,7996708.0
Ethiopia,40s,5120284.0
Ethiopia,50s,3061786.0
Ethiopia,60s,2040261.0
Ethiopia,70s,1026736.0
Ethiopia,80+,501813.0
Fiji,Total,884887.0
Fiji,< 30,476800.0
Fiji,30s,133968.0
Fiji,40s,103018.0
Fiji,50s,90618.0
Fiji,60s,51943.0
Fiji,70s,28540.0
Finland,Total,5513130.0
Finland,< 30,1868556.0
Finland,30s,702767.0
Finland,40s,660703.0
Finland,50s,734554.0
Finland,60s,737233.0
Finland,70s,514580.0
Finland,80+,295591.0
France,Total,64812052.0
France,< 30,22751467.0
France,30s,8035336.0
France,40s,8388238.0
France,50s,8532078.0
France,60s,7803284.0
France,70s,5331800.0
France,80+,4162587.0
Gambia,Total,1922950.0
Gambia,< 30,1368748.0
Gambia,30s,236915.0
Gambia,40s,143455.0
Gambia,50s,88486.0
Gambia,60s,85346.0
Georgia,Total,3729633.0
Georgia,< 30,1451499.0
Georgia,30s,524706.0
Georgia,40s,477608.0
Georgia,50s,506374.0
Georgia,60s,410695.0
Georgia,70s,234886.0
Georgia,80+,123865.0
Germany,Total,82792351.0
Germany,< 30,25152920.0
Germany,30s,10453462.0
Germany,40s,10731644.0
Germany,50s,13369561.0
Germany,60s,10086747.0
Germany,70s,7847332.0
Germany,80+,5164879.0
Ghana,Total,24658823.0
Ghana,< 30,16433989.0
Ghana,30s,3100212.0
