Country_Region,Age,Values
Sri Lanka,80+,290470.0
Sudan,Total,39647621.0
Sudan,< 30,27515642.0
Sudan,30s,4847230.0
Sudan,40s,3335289.0
Sudan,50s,2075061.0
Sudan,60s,1128916.0
Sudan,70s,529443.0
Sudan,80+,216042.0
Suriname,Total,583200.0
Suriname,< 30,293500.0
Suriname,30s,84400.0
Suriname,40s,75400.0
Suriname,50s,61200.0
Suriname,60s,40000.0
Suriname,70s,20500.0
Suriname,80+,8200.0
Sweden,Total,10120242.0
Sweden,< 30,3690437.0
Sweden,30s,1290686.0
Sweden,40s,1298352.0
Sweden,50s,1269914.0
Sweden,60s,1125099.0
Sweden,70s,933084.0
Sweden,80+,512670.0
Switzerland,Total,8544527.0
Switzerland,< 30,2767387.0
Switzerland,30s,1207291.0
Switzerland,40s,1206179.0
Switzerland,50s,1262051.0
Switzerland,60s,930732.0
Switzerland,70s,697584.0
Switzerland,80+,438605.0
Tanzania,Total,44928923.0
Tanzania,< 30,31680825.0
Tanzania,30s,5350630.0
Tanzania,40s,3405033.0
Tanzania,50s,1984867.0
Tanzania,60s,1263553.0
Tanzania,70s,769962.0
Tanzania,80+,474053.0
Thailand,Total,65981659.0
Thailand,< 30,27370497.599999998
Thailand,30s,11009765.8
Thailand,40s,10938077.6
Thailand,50s,8155120.8
Thailand,60s,4698749.6
Thailand,70s,2731023.9
Thailand,80+,1078423.0
Timor-Leste,Total,1183643.0
Timor-Leste,< 30,799482.0
Timor-Leste,30s,121285.0
Timor-Leste,40s,103194.0
Timor-Leste,50s,62740.0
Timor-Leste,60s,59418.0
Timor-Leste,70s,28114.0
Timor-Leste,80+,9410.0
Togo,Total,6191155.0
Togo,< 30,4249165.0
Togo,30s,776388.0
Togo,40s,520030.0
Togo,50s,294183.0
Togo,60s,169018.0
Togo,70s,95330.0
Togo,80+,73591.0
Trinidad and Tobago,Total,1359193.0
Trinidad and Tobago,< 30,623860.0
Trinidad and Tobago,30s,202769.0
Trinidad and Tobago,40s,186556.0
Trinidad and Tobago,50s,164165.0
Trinidad and Tobago,60s,181843.0
Tunisia,Total,10982753.0
Tunisia,< 30,5298333.0
Tunisia,30s,1800767.0
Tunisia,40s,1410804.0
Tunisia,50s,1185776.0
Tunisia,60s,687727.0
Tunisia,70s,387577.0
Tunisia,80+,211769.0
Turkey,Total,75175826.5
Turkey,< 30,37727240.0
Turkey,30s,12202240.0
Turkey,40s,9660169.5
Turkey,50s,7382315.5
Turkey,60s,4515783.0
Turkey,70s,2585965.0
Turkey,80+,1102113.5
US,Total,327167434.0
US,< 30,127418000.0
US,30s,43699605.0
US,40s,40461436.0
US,50s,42825549.0
US,60s,37418544.0
US,70s,22672489.0
US,80+,12671811.0
Uganda,Total,34634650.0
Uganda,< 30,26234569.0
Uganda,30s,3487576.0
Uganda,40s,2193541.0
Uganda,50s,1288387.0
Uganda,60s,741203.0
Uganda,70s,427709.0
Uganda,80+,261665.0
Ukraine,Total,42216766.0
Ukraine,< 30,13740593.0
Ukraine,30s,6885439.0
Ukraine,40s,5934476.0
Ukraine,50s,5976513.0
Ukraine,60s,5076996.0
Ukraine,70s,2924847.0
Ukraine,80+,1677902.0
United Kingdom,Total,66273576.0
United Kingdom,< 30,24289770.0
United Kingdom,30s,8776124.0
United Kingdom,40s,8566903.0
United Kingdom,50s,8911564.0
United Kingdom,60s,7075336.0
United Kingdom,70s,5392688.0
United Kingdom,80+,3261191.0
Uruguay,Total,3518552.48924984
Uruguay,< 30,1484938.7599482455
Uruguay,30s,482834.2786802155
Uruguay,40s,460244.41153132747
Uruguay,50s,402035.3489995813
Uruguay,60s,330482.8263069941
Uruguay,70s,218938.8780666805
Uruguay,80+,139077.98571679744
Uzbekistan,Total,32388563.0
Uzbekistan,< 30,18184841.0
Uzbekistan,30s,5102182.0
Uzbekistan,40s,3733945.0
Uzbekistan,50s,3007048.0
Uzbekistan,60s,1538002.0
Uzbekistan,70s,544093.0
Uzbekistan,80+,278452.0
Venezuela,Total,32064741.0
Venezuela,< 30,16303737.0
Venezuela,30s,4926625.0
Venezuela,40s,4003970.0
Venezuela,50s,3310635.0
Venezuela,60s,2047451.0
Venezuela,70s,1009231.0
Venezuela,80+,463092.0
Vietnam,Total,96208984.0
Vietnam,< 30,45001779.0
Vietnam,30s,16086196.0
Vietnam,40s,12941590.0
Vietnam,50s,10770734.0
Vietnam,60s,6677305.0
Vietnam,70s,2812661.0
Vietnam,80+,1918719.0
Zambia,Total,13092666.0
Zambia,< 30,9726003.0
Zambia,30s,1523229.0
Zambia,40s,849402.0
Zambia,50s,479026.0
Zambia,60s,291494.0
Zambia,70s,156411.0
Zambia,80+,67101.0
Zimbabwe,Total,13061239.0
Zimbabwe,< 30,9111669.0
Zimbabwe,30s,1657488.0
Zimbabwe,40s,872800.0
Zimbabwe,50s,633199.0
Zimbabwe,60s,393829.0
Zimbabwe,70s,453660.0
Zimbabwe,80+,137825.0
