Country_Region,Age,Values,relative_pop
Bolivia,60s,484396.0,0.007549272919382232
Bolivia,70s,251699.0,0.007549272919382232
Bolivia,80+,143814.0,0.007549272919382232
Bosnia & H.,<30,1266835.0,0.002649407415659363
Bosnia & H.,30s,501899.0,0.002649407415659363
Bosnia & H.,40s,502066.0,0.002649407415659363
Bosnia & H.,50s,535112.0,0.002649407415659363
Bosnia & H.,60s,376820.0,0.002649407415659363
Bosnia & H.,70s,257722.0,0.002649407415659363
Bosnia & H.,80+,90705.0,0.002649407415659363
Botswana,<30,1278718.0,0.0015192733245935135
Botswana,30s,305761.0,0.0015192733245935135
Botswana,40s,181558.0,0.0015192733245935135
Botswana,50s,120411.0,0.0015192733245935135
Botswana,60s,65331.0,0.0015192733245935135
Botswana,70s,40153.0,0.0015192733245935135
Botswana,80+,32972.0,0.0015192733245935135
Brazil,<30,97272772.0,0.14312293172032947
Brazil,30s,29633091.0,0.14312293172032947
Brazil,40s,24842716.0,0.14312293172032947
Brazil,50s,18416623.0,0.14312293172032947
Brazil,60s,11349930.0,0.14312293172032947
Brazil,70s,6305083.0,0.14312293172032947
Brazil,80+,2935584.0,0.14312293172032947
Brunei,<30,211737.0,0.0002952459416055377
Brunei,30s,70692.0,0.0002952459416055377
Brunei,40s,54732.0,0.0002952459416055377
Brunei,50s,33825.0,0.0002952459416055377
Brunei,60s,13606.0,0.0002952459416055377
Brunei,70s,6502.0,0.0002952459416055377
Brunei,80+,2413.0,0.0002952459416055377
Bulgaria,<30,2087843.0,0.0052896447380337205
Bulgaria,30s,979421.0,0.0052896447380337205
Bulgaria,40s,1067440.0,0.0052896447380337205
Bulgaria,50s,945874.0,0.0052896447380337205
Bulgaria,60s,967186.0,0.0052896447380337205
Bulgaria,70s,663980.0,0.0052896447380337205
Bulgaria,80+,338352.0,0.0052896447380337205
Burkina Faso,<30,10169159.0,0.010466860170840938
Burkina Faso,30s,1451644.0,0.010466860170840938
Burkina Faso,40s,977026.0,0.010466860170840938
Burkina Faso,50s,632373.0,0.010466860170840938
Burkina Faso,60s,402571.0,0.010466860170840938
Burkina Faso,70s,213395.0,0.010466860170840938
Burkina Faso,80+,104177.0,0.010466860170840938
Burma,<30,27502761.0,0.037729651047736165
Burma,30s,7462341.0,0.037729651047736165
Burma,40s,6229221.0,0.037729651047736165
Burma,50s,4611169.0,0.037729651047736165
Burma,60s,2641338.0,0.037729651047736165
Burma,70s,1266468.0,0.037729651047736165
Burma,80+,573191.0,0.037729651047736165
Burundi,<30,5896014.0,0.00597709711504461
Burundi,30s,786384.0,0.00597709711504461
Burundi,40s,584610.0,0.00597709711504461
Burundi,50s,370004.0,0.00597709711504461
Burundi,60s,174837.0,0.00597709711504461
Burundi,70s,98598.0,0.00597709711504461
Burundi,80+,55893.0,0.00597709711504461
Cabo Verde,<30,311941.0,0.0003686404511156489
Cabo Verde,30s,61740.0,0.0003686404511156489
Cabo Verde,40s,49803.0,0.0003686404511156489
Cabo Verde,50s,30304.0,0.0003686404511156489
Cabo Verde,60s,12408.0,0.0003686404511156489
Cabo Verde,70s,16100.0,0.0003686404511156489
Cabo Verde,80+,9032.0,0.0003686404511156489
Cambodia,<30,8735645.0,0.010051164281134025
Cambodia,30s,1538183.0,0.010051164281134025
Cambodia,40s,1391101.0,0.010051164281134025
Cambodia,50s,881842.0,0.010051164281134025
Cambodia,60s,494450.0,0.010051164281134025
Cambodia,70s,266831.0,0.010051164281134025
Cambodia,80+,88249.0,0.010051164281134025
Cameroon,<30,12593613.0,0.013103011392083717
Cameroon,30s,1933775.0,0.013103011392083717
Cameroon,40s,1290038.0,0.013103011392083717
Cameroon,50s,775768.0,0.013103011392083717
Cameroon,60s,491843.0,0.013103011392083717
Cameroon,70s,260789.0,0.013103011392083717
Cameroon,80+,118010.0,0.013103011392083717
Canada,<30,13090644.0,0.02780503735522883
Canada,30s,5064962.0,0.02780503735522883
Canada,40s,4784619.0,0.02780503735522883
Canada,50s,5304199.0,0.02780503735522883
Canada,60s,4491966.0,0.02780503735522883
Canada,70s,2735126.0,0.02780503735522883
Canada,80+,1587340.0,0.02780503735522883
Chad,<30,8260057.039459999,0.008277314994426641
Chad,30s,1115209.4978200002,0.008277314994426641
Chad,40s,733376.6391299999,0.008277314994426641
Chad,50s,428499.11691999994,0.008277314994426641
Chad,60s,263172.272552,0.008277314994426641
Chad,70s,146866.801186,0.008277314994426641
Chad,80+,84914.0236405,0.008277314994426641
Chile,<30,7823007.0,0.0143889988040006
Chile,30s,2837137.0,0.0143889988040006
Chile,40s,2492673.0,0.0143889988040006
Chile,50s,2430505.0,0.0143889988040006
Chile,60s,1724151.0,0.0143889988040006
Chile,70s,967809.0,0.0143889988040006
Chile,80+,902532.0,0.0143889988040006
China,<30,549638105.0,1.0
China,30s,215164162.0,1.0
China,40s,230348517.0,1.0
China,50s,160065645.0,1.0
China,60s,99780564.0,1.0
China,70s,56824530.0,1.0
China,80+,20989346.0,1.0
Colombia,<30,23600180.0,0.031113479762596385
Colombia,30s,5836451.0,0.031113479762596385
Colombia,40s,5023812.0,0.031113479762596385
Colombia,50s,3285998.0,0.031113479762596385
Colombia,60s,2025787.0,0.031113479762596385
Colombia,70s,1206956.0,0.031113479762596385
Colombia,80+,489200.0,0.031113479762596385
Congo,<30,2497276.0,0.002774204567204801
Congo,30s,528109.0,0.002774204567204801
Congo,40s,317489.0,0.002774204567204801
Congo,50s,177108.0,0.002774204567204801
Congo,60s,104768.0,0.002774204567204801
Congo,70s,55719.0,0.002774204567204801
Congo,80+,17021.0,0.002774204567204801
Costa Rica,<30,2259474.0,0.0037542258368242643
Costa Rica,30s,735405.0,0.0037542258368242643
Costa Rica,40s,610946.0,0.0037542258368242643
Costa Rica,50s,603842.0,0.0037542258368242643
Costa Rica,60s,445851.0,0.0037542258368242643
Costa Rica,70s,229848.0,0.0037542258368242643
Costa Rica,80+,118307.0,0.0037542258368242643
Cote d'Ivoire,<30,15751910.0,0.01700681734161338
Cote d'Ivoire,30s,3130251.0,0.01700681734161338
Cote d'Ivoire,40s,1783626.0,0.01700681734161338
Cote d'Ivoire,50s,1087416.0,0.01700681734161338
Cote d'Ivoire,60s,564890.0,0.01700681734161338
Cote d'Ivoire,70s,244108.0,0.01700681734161338
Cote d'Ivoire,80+,104670.0,0.01700681734161338
Croatia,<30,1294181.0,0.0030803665362365827
Croatia,30s,552831.0,0.0030803665362365827
Croatia,40s,543591.0,0.0030803665362365827
Croatia,50s,591011.0,0.0030803665362365827
Croatia,60s,555410.0,0.0030803665362365827
Croatia,70s,355202.0,0.0030803665362365827
Croatia,80+,213320.0,0.0030803665362365827
Cuba,<30,3984999.0,0.008554723903590855
Cuba,30s,1368446.5,0.008554723903590855
Cuba,40s,1789664.5,0.008554723903590855
Cuba,50s,1802795.0,0.008554723903590855
Cuba,60s,1123432.5,0.008554723903590855
Cuba,70s,758843.5,0.008554723903590855
Cuba,80+,573648.0,0.008554723903590855
Cyprus,<30,330953.0,0.0006304780517212303
Cyprus,30s,131696.0,0.0006304780517212303
Cyprus,40s,116968.0,0.0006304780517212303
Cyprus,50s,103890.0,0.0006304780517212303
Cyprus,60s,81362.0,0.0006304780517212303
Cyprus,70s,50491.0,0.0006304780517212303
Cyprus,80+,24948.0,0.0006304780517212303
Czechia,<30,3335639.0,0.007960800925911417
Czechia,30s,1541809.0,0.007960800925911417
