country,update,lat,long,confirmed,deaths,recovered,under30,thirties,fourties,fifties,sixties,seventies,eighties,total_pop,under30_frac,thirties_frac,fourties_frac,fifties_frac,sixties_frac,seventies_frac,eighties_frac,est_death_percent,deaths_per_conf_perc,deaths_per_10k,over_sixty,over_sixty_perc,relative_pop
Cyprus,2020-04-15 22:56:32,35.1264,33.4299,715,12,65,330953.0,131696.0,116968.0,103890.0,81362.0,50491.0,24948.0,840308.0,39.38472560061311,15.672348710234818,13.919658030150849,12.363323924084979,9.682402166824545,6.008630168938057,2.9689113991536438,0.6964140529424927,1.6783216783216783,0.14280478110407135,156801.0,18.659943734916247,0.0006304780517212303
Czechia,2020-04-15 22:56:32,49.8175,15.473,6216,166,819,3335639.0,1541809.0,1675966.0,1317890.0,1383116.0,928213.0,427609.0,10610242.0,31.437916307658202,14.531327372174923,15.795737740948793,12.420923104298657,13.03566874346504,8.748273602053564,4.030153129400818,0.9418925788874561,2.6705276705276706,0.1564526049452972,2738938.0,25.814095474919423,0.007960800925911417
Denmark,2020-04-15 22:56:32,61.8926,-6.9118,6876,309,2925,2083874.0,674218.0,769744.0,796680.0,663871.0,537011.0,258535.0,5783933.0,36.028667690306925,11.656739453932126,13.308314601846183,13.77401847497196,11.47784734020951,9.28453009396893,4.469882344764367,0.9732951609225072,4.493891797556719,0.5342385535932038,1459417.0,25.232259778942804,0.004339650234349942
Dominica,2020-04-15 22:56:32,15.415,-61.371,16,0,8,33714.0,8536.0,9425.0,7039.0,4652.0,3454.0,2093.0,68913.0,48.922554525270996,12.386632420588278,13.676664780230144,10.214328210932626,6.750540536618635,5.012116726887525,3.0371627994717976,0.6023754589119614,0.0,0.0,10199.0,14.79982006297796,5.170501051788767e-05
Dominican Rep,2020-04-15 22:56:32,18.7357,-70.1627,3614,189,208,5435317.0,1349795.0,1079857.0,724649.0,454834.0,260558.0,140271.0,9445281.0,57.54531813293855,14.290681240716927,11.432767325821223,7.672074552361121,4.8154628750589845,2.7586050642643665,1.4850908088388266,0.3541902459016307,5.229662423907029,0.20009992291388684,855663.0,9.059158748162178,0.007086737675756454
Ecuador,2020-04-15 22:56:32,-1.8312,-78.1834,7858,388,780,8440652.0,2006015.0,1569143.0,1126025.0,724576.0,405309.0,211779.0,14483499.0,58.27771314100274,13.85034790280995,10.834004959713118,7.774537078367596,5.002769013205994,2.798419083675844,1.4622088212247606,0.3564350921003275,4.937643166200051,0.2678910669307189,1341664.0,9.263396918106597,0.010866882418858786
Egypt,2020-04-15 22:56:32,26.820553000000004,30.802498,2505,183,589,57852249.0,13830704.0,9545234.0,7258467.0,4369561.0,1480236.0,462376.0,94798827.0,61.026334218249346,14.589530733328587,10.068936823448247,7.656705499109181,4.609298593958341,1.5614497002162273,0.4877444316900672,0.22668470465357132,7.3053892215568865,0.019304036325259594,6312173.0,6.658492725864636,0.071126991237044
El Salvador,2020-04-15 22:56:32,13.7942,-88.8965,159,6,30,3722967.0,881082.0,716351.0,533641.0,371222.0,233437.0,179082.0,6637782.0,56.08751537787773,13.273741138229608,10.792023600654556,8.03944751424497,5.592560888561872,3.516792205589156,2.6979192748421084,0.48558422075325763,3.7735849056603774,0.009039163985801282,783741.0,11.807272368993136,0.004980288017144014
Estonia,2020-04-15 22:56:32,58.5953,25.0136,1400,35,117,435656.0,188315.0,180698.0,172219.0,161075.0,109172.0,72324.0,1319459.0,33.017774709180046,14.272137292632813,13.694855239912721,13.052243381567749,12.207654803976478,8.273997145799909,5.48133742693028,1.01372896012684,2.5,0.26526023165554974,342571.0,25.962989376706663,0.0009899821727819358
Eswatini,2020-04-15 22:56:32,-26.5225,31.4659,15,0,8,723352.0,114623.0,75156.0,47975.0,33569.0,15827.0,7223.0,1017725.0,71.07538873467783,11.262669188631506,7.384706084649586,4.71394531921688,3.2984352354516204,1.5551352280822421,0.709720209290329,0.204950354958363,0.0,0.0,56619.0,5.563290672824191,0.0007635929625660939
