Country_Region,Age,relative_pop,Values
Brunei,50s,0.0002952459416055377,33825.0
Brunei,60+,0.0002952459416055377,22521.0
Bulgaria,<30,0.0052896447380337205,2087843.0
Bulgaria,30s,0.0052896447380337205,979421.0
Bulgaria,40s,0.0052896447380337205,1067440.0
Bulgaria,50s,0.0052896447380337205,945874.0
Bulgaria,60+,0.0052896447380337205,1969518.0
Burkina Faso,<30,0.010466860170840938,10169159.0
Burkina Faso,30s,0.010466860170840938,1451644.0
Burkina Faso,40s,0.010466860170840938,977026.0
Burkina Faso,50s,0.010466860170840938,632373.0
Burkina Faso,60+,0.010466860170840938,720143.0
Burma,<30,0.037729651047736165,27502761.0
Burma,30s,0.037729651047736165,7462341.0
Burma,40s,0.037729651047736165,6229221.0
Burma,50s,0.037729651047736165,4611169.0
Burma,60+,0.037729651047736165,4480997.0
Burundi,<30,0.00597709711504461,5896014.0
Burundi,30s,0.00597709711504461,786384.0
Burundi,40s,0.00597709711504461,584610.0
Burundi,50s,0.00597709711504461,370004.0
Burundi,60+,0.00597709711504461,329328.0
Cabo Verde,<30,0.0003686404511156489,311941.0
Cabo Verde,30s,0.0003686404511156489,61740.0
Cabo Verde,40s,0.0003686404511156489,49803.0
Cabo Verde,50s,0.0003686404511156489,30304.0
Cabo Verde,60+,0.0003686404511156489,37540.0
Cambodia,<30,0.010051164281134025,8735645.0
Cambodia,30s,0.010051164281134025,1538183.0
Cambodia,40s,0.010051164281134025,1391101.0
Cambodia,50s,0.010051164281134025,881842.0
Cambodia,60+,0.010051164281134025,849530.0
Cameroon,<30,0.013103011392083717,12593613.0
Cameroon,30s,0.013103011392083717,1933775.0
Cameroon,40s,0.013103011392083717,1290038.0
Cameroon,50s,0.013103011392083717,775768.0
Cameroon,60+,0.013103011392083717,870642.0
Canada,<30,0.02780503735522883,13090644.0
Canada,30s,0.02780503735522883,5064962.0
Canada,40s,0.02780503735522883,4784619.0
Canada,50s,0.02780503735522883,5304199.0
Canada,60+,0.02780503735522883,8814432.0
Chad,<30,0.008277314994426641,8260057.039459999
Chad,30s,0.008277314994426641,1115209.4978200002
Chad,40s,0.008277314994426641,733376.6391299999
Chad,50s,0.008277314994426641,428499.11691999994
Chad,60+,0.008277314994426641,494953.09737850004
Chile,<30,0.0143889988040006,7823007.0
Chile,30s,0.0143889988040006,2837137.0
Chile,40s,0.0143889988040006,2492673.0
Chile,50s,0.0143889988040006,2430505.0
Chile,60+,0.0143889988040006,3594492.0
China,<30,1.0,549638105.0
China,30s,1.0,215164162.0
China,40s,1.0,230348517.0
China,50s,1.0,160065645.0
China,60+,1.0,177594440.0
Colombia,<30,0.031113479762596385,23600180.0
Colombia,30s,0.031113479762596385,5836451.0
Colombia,40s,0.031113479762596385,5023812.0
Colombia,50s,0.031113479762596385,3285998.0
