country,update,lat,long,confirmed,deaths,recovered,est_death_percent,deaths_per_conf_perc,over_sixty_perc
Burundi,2020-04-15 22:56:32,-3.3731,29.9189,5,1,0,0.17244525089313284,20.0,4.133993778824404
Cape Verde,2020-04-15 22:56:32,16.5388,-23.0418,56,1,1,0.35851467858538494,1.7857142857142856,7.6405171290868825
Cambodia,2020-04-15 22:56:32,11.55,104.9167,122,0,96,0.2366404203667863,0.0,6.3415266647114
Cameroon,2020-04-15 22:56:32,3.848,11.5021,848,17,165,0.19133927391439087,2.0047169811320753,4.985399542231157
Canada,2020-04-15 23:04:09,53.9333,-116.5765,28209,1007,8966,0.8914057276889497,3.569782693466624,23.78495439794472
Chad,2020-04-15 22:56:32,15.4542,18.7322,23,0,2,0.18073854639452555,0.0,4.486483119021628
Chile,2020-04-15 22:56:32,-35.6751,-71.543,8273,94,2937,0.7691814405958886,1.1362262782545631,18.74297039276739
China,2020-04-09 01:12:20,31.8257,117.2264,83356,3346,78311,0.4904800503243796,4.014108162579778,13.324804301247037
Colombia,2020-04-15 22:56:32,4.5709,-74.2973,3105,131,452,0.3412541178358916,4.219001610305958,8.975375071283223
Republic of Congo,2020-04-15 22:56:32,-4.2634,15.2832,117,5,11,0.18247457058707395,4.273504273504273,4.800770252252203
Costa Rica,2020-04-15 22:56:32,9.7489,-83.7534,626,4,67,0.5765974714974379,0.6389776357827476,15.868463027060322
Ivory Coast,2020-04-15 22:56:32,7.54,-5.5471,638,6,114,0.15780640830399573,0.9404388714733543,4.030851898349798
Croatia,2020-04-15 22:56:32,45.1,15.2,1741,33,473,1.0333422643419412,1.8954623779437105,27.37594463684002
Cuba,2020-04-15 22:56:32,21.521757,-77.78116700000002,814,24,151,0.8871708653059085,2.9484029484029484,21.53973717725463
Cyprus,2020-04-15 22:56:32,35.1264,33.4299,715,12,65,0.6964140529424927,1.6783216783216783,18.659943734916247
Czech Republic,2020-04-15 22:56:32,49.8175,15.473,6216,166,819,0.9418925788874561,2.6705276705276706,25.814095474919423
Denmark,2020-04-15 22:56:32,61.8926,-6.9118,6876,309,2925,0.9732951609225072,4.493891797556719,25.232259778942804
Dominica,2020-04-15 22:56:32,15.415,-61.371,16,0,8,0.6023754589119614,0.0,14.79982006297796
Dominican Republic,2020-04-15 22:56:32,18.7357,-70.1627,3614,189,208,0.3541902459016307,5.229662423907029,9.059158748162178
Ecuador,2020-04-15 22:56:32,-1.8312,-78.1834,7858,388,780,0.3564350921003275,4.937643166200051,9.263396918106597
Egypt,2020-04-15 22:56:32,26.820553000000004,30.802498,2505,183,589,0.22668470465357132,7.3053892215568865,6.658492725864636
El Salvador,2020-04-15 22:56:32,13.7942,-88.8965,159,6,30,0.48558422075325763,3.7735849056603774,11.807272368993136
Estonia,2020-04-15 22:56:32,58.5953,25.0136,1400,35,117,1.01372896012684,2.5,25.962989376706663
Swaziland,2020-04-15 22:56:32,-26.5225,31.4659,15,0,8,0.204950354958363,0.0,5.563290672824191
Ethiopia,2020-04-15 22:56:32,9.145,40.4897,85,3,15,0.18474103486583737,3.5294117647058822,4.83900325490124
Finland,2020-04-15 22:56:32,61.92411,25.748151,3237,72,300,1.0652877656412982,2.2242817423540315,28.05691197437851
France,2020-04-15 22:56:32,4.0,-53.0,134582,17188,31470,1.0592179768328094,12.771395877606217,26.46186562361067
Georgia,2020-04-15 22:56:32,42.3154,43.3569,306,3,71,0.7562838756521084,0.9803921568627451,20.63060896340203
Germany,2020-04-15 22:56:32,51.165691,10.451526,134753,3804,72600,1.1287081934416812,2.8229427174163098,27.886095524650763
Ghana,2020-04-15 22:56:32,7.9465,-1.0232,636,8,17,0.28246743744368463,1.257861635220126,6.703478663132534
Greece,2020-04-15 22:56:32,39.0742,21.8243,2192,102,269,1.153828229991812,4.653284671532846,27.92738962673043
Grenada,2020-04-15 22:56:32,12.1165,-61.679,14,0,0,0.4667589274441823,0.0,12.010410900368072
Guinea,2020-04-15 22:56:32,9.9456,-9.6966,404,1,31,0.22391547639082598,0.24752475247524752,5.7790165995122615
Guinea Bissau,2020-04-15 22:56:32,11.8037,-15.1804,43,0,0,0.18583122341275302,0.0,4.681637708712699
Guyana,2020-04-15 22:56:32,4.860416000000002,-58.93018000000001,55,6,8,0.301825545046221,10.909090909090908,8.010121091632026
Honduras,2020-04-15 22:56:32,15.2,-86.2419,419,31,9,0.2792378147898342,7.398568019093078,7.243798781264515
Hungary,2020-04-15 22:56:32,47.1625,19.5033,1579,134,192,0.958356509484044,8.486383787207092,26.322042802425884
Iceland,2020-04-15 22:56:32,64.9631,-19.0208,1727,8,1077,0.739049504950495,0.4632310364794441,19.61084804132587
India,2020-04-15 22:56:32,20.593684,78.96288,12322,405,1432,0.30330118365693043,3.28680409024509,8.608424890912488
Indonesia,2020-04-15 22:56:32,-0.7893,113.9213,5136,469,446,0.285129906235248,9.131619937694705,7.592834253079365
Iran,2020-04-15 22:56:32,32.427908,53.68804599999999,76389,4777,49933,0.3585481306709296,6.253518176700834,9.27616289362684
Ireland,2020-04-15 22:56:32,53.1424,-7.6921,12547,444,77,0.7196789411708201,3.538694508647485,18.90997666441978
Israel,2020-04-15 22:56:32,31.046051,34.851612,12501,130,2563,0.5921329031080771,1.0399168066554676,15.700865289876987
Italy,2020-04-15 22:56:32,41.87194,12.56738,165155,21645,38092,1.189181689503102,13.105870243104961,28.804632261839014
Japan,2020-04-15 22:56:32,36.204824,138.252924,8100,146,853,1.415051885338539,1.8024691358024691,34.06649858925622
Jordan,2020-04-15 22:56:32,31.24,36.51,401,7,250,0.2200443937023979,1.7456359102244388,5.561168335621755
Kazakhstan,2020-04-15 22:56:32,48.0196,66.9237,1295,16,240,0.40703839290032884,1.2355212355212355,11.473698505596163
Kenya,2020-04-15 22:56:32,-0.0236,37.9062,225,10,53,0.20816823214256516,4.444444444444445,4.991190367641192
Kuwait,2020-04-15 22:56:32,29.31166,47.481766,1405,3,206,0.15394799962561975,0.21352313167259787,3.293470097355173
Kyrgyzstan,2020-04-15 22:56:32,41.20438,74.766098,449,5,78,0.2827015102903201,1.1135857461024499,7.834932310822443
Laos,2020-04-15 22:56:32,19.85627,102.495496,19,0,1,0.25335551638503834,0.0,6.523307912194662
Latvia,2020-04-15 22:56:32,56.8796,24.6032,666,5,44,1.0413301289424424,0.7507507507507507,26.612659342886197
Lebanon,2020-04-15 22:56:32,33.8547,35.8623,658,21,85,0.48899203912390454,3.1914893617021276,13.36664242349435
Liberia,2020-04-15 22:56:32,6.4280550000000005,-9.429499,59,6,4,0.19765369003350394,10.16949152542373,4.91689025624977
Libya,2020-04-15 22:56:32,26.3351,17.228331,48,1,9,0.23481885759411963,2.083333333333333,6.040464675230156
Liechtenstein,2020-04-15 22:56:32,47.14,9.55,79,1,55,0.88847735547581,1.2658227848101267,23.954213269769756
Lithuania,2020-04-15 22:56:32,55.1694,23.8813,1091,30,138,1.0363177627121782,2.749770852428964,25.995006587985834
Luxembourg,2020-04-15 22:56:32,49.8153,6.1296,3373,69,526,0.7771769986030665,2.045656685443226,19.694269251021122
Malawi,2020-04-15 22:56:32,-13.254307999999998,34.301525,16,2,0,0.2171772736290869,12.5,5.258922321965458
Malaysia,2020-04-15 22:56:32,4.210483999999999,101.975766,5072,83,2647,0.3020521532771388,1.6364353312302837,8.312608790428538
Maldives,2020-04-15 22:56:32,3.2028,73.2207,22,0,16,0.22961520443738562,0.0,5.509946159767287
Mali,2020-04-15 22:56:32,17.570692,-3.996166000000001,148,13,34,0.18644708202087512,8.783783783783784,4.998676783914183
Malta,2020-04-15 22:56:32,35.9375,14.3754,399,3,44,0.9313974534423934,0.7518796992481203,25.13133249667333
Mauritania,2020-04-15 22:56:32,21.0079,-10.9408,7,1,2,0.21937870190491915,14.285714285714285,5.626527972209846
Mauritius,2020-04-15 22:56:32,-20.348404,57.552152,324,9,65,0.5712549484194696,2.7777777777777777,16.756065543194
Mexico,2020-04-15 22:56:32,23.6345,-102.5528,5399,406,2125,0.4109269610550883,7.519911094647156,11.009444784389375
Moldova,2020-04-15 22:56:32,47.4116,28.3699,2049,46,171,0.6650082943866089,2.2449975597852614,20.396430660664798
Monaco,2020-04-15 22:56:32,43.7333,7.4167,93,3,12,2.0842851075850373,3.225806451612903,43.102157953983955
Mongolia,2020-04-15 22:56:32,46.8625,103.8467,30,0,5,0.24952865931527105,0.0,6.519316661206681
Montenegro,2020-04-15 22:56:32,42.708678000000006,19.37439,288,4,55,0.753091940356064,1.3888888888888888,21.27321807314095
Morocco,2020-04-15 22:56:32,31.7917,-7.0926,2024,127,229,0.39592207302076526,6.274703557312253,9.908010469972696
Mozambique,2020-04-15 22:56:32,-18.665695,35.529562,29,0,2,0.17338750417670198,0.0,4.55641832504017
Macedonia,2020-04-15 22:56:32,41.6086,21.7453,974,45,98,0.6913857889055934,4.620123203285421,19.769235958521257
Namibia,2020-04-15 22:56:32,-22.9576,18.4904,16,0,3,0.30015082271019944,0.0,7.065667744242164
Nepal,2020-04-15 22:56:32,28.1667,84.25,16,0,1,0.2841725061167403,0.0,8.131535506382757
Netherlands,2020-04-15 22:56:32,12.5211,-69.9683,28316,3145,304,0.9570422448315834,11.106794745020483,25.137261420757852
New Zealand,2020-04-15 22:56:32,-40.9006,174.886,1386,9,728,0.7861869643621061,0.6493506493506493,20.856283760410847
Nicaragua,2020-04-15 22:56:32,12.865416,-85.207229,9,1,4,0.24320020738616804,11.11111111111111,6.090451796134574
Niger,2020-04-15 22:56:32,17.607789,8.081666,584,14,90,0.17284874563027777,2.3972602739726026,4.442331683660987
Nigeria,2020-04-15 22:56:32,9.082,8.6753,407,12,128,0.21042076797568413,2.9484029484029484,4.975402649214968
Norway,2020-04-15 22:56:32,60.472,8.4689,6740,150,32,0.869683336357846,2.225519287833828,22.596111993706497
Oman,2020-04-15 22:56:32,21.512583,55.92325500000001,910,4,131,0.17610553388001138,0.43956043956043955,4.0966958826802005
Pakistan,2020-04-15 22:56:32,30.3753,69.3451,6383,111,1446,0.18975224270465682,1.7389942033526555,5.253467599660082
Panama,2020-04-15 22:56:32,8.538,-80.7821,3574,95,72,0.47355164222796164,2.6580861779518745,12.223407760298716
Papua New Guinea,2020-04-15 22:56:32,-6.314993,143.95555,2,0,0,0.14736596731207952,0.0,4.098088420520515
Paraguay,2020-04-15 22:56:32,-23.4425,-58.4438,161,8,23,0.2781359149891211,4.968944099378882,7.13187834361572
Peru,2020-04-15 22:56:32,-9.19,-75.0152,11475,254,3108,0.4575839520706025,2.213507625272331,11.903852047064102
Philippines,2020-04-15 22:56:32,12.879721,121.774017,5453,349,353,0.25989577370018063,6.400146708234001,7.21320132398646
Poland,2020-04-15 22:56:32,51.9194,19.1451,7582,286,668,0.877873412180478,3.772091796359799,24.355823876895844
Portugal,2020-04-15 22:56:32,39.3999,-8.2245,18091,599,383,1.119819537933386,3.311038637996794,27.91143196884043
Qatar,2020-04-15 22:56:32,25.3548,51.1839,3711,7,406,0.13088798878329957,0.18862840204796552,2.410576160164048
